key,item,date,price,customer
ORD-001,Sandwich,24-04-17,8,CUST-323
ORD-002,Espresso,24-09-12,13,CUST-774
ORD-003,Coffee,24-08-23,4,CUST-414
ORD-004,Coffee,24-01-13,6,CUST-782
ORD-005,Mocha,24-06-06,5,CUST-951
ORD-006,Sandwich,24-10-09,7,CUST-915
ORD-007,Mocha,24-03-16,8,CUST-348
ORD-008,Espresso,24-04-16,20,CUST-299
ORD-009,Coffee,24-03-25,14,CUST-785
ORD-010,Coffee,24-09-19,18,CUST-195
ORD-011,Tea,24-07-31,7,CUST-508
ORD-012,Espresso,24-02-14,9,CUST-088
ORD-013,Coffee,24-05-18,13,CUST-715
ORD-014,Coffee,24-03-09,17,CUST-838
ORD-015,Latte,24-06-29,6,CUST-477
ORD-016,Coffee,24-01-13,19,CUST-994
ORD-017,Latte,24-09-25,7,CUST-029
ORD-018,Sandwich,24-12-11,13,CUST-901
ORD-019,Coffee,24-01-21,17,CUST-025
ORD-020,Cake,24-02-25,11,CUST-205
ORD-021,Sandwich,24-04-10,17,CUST-383
ORD-022,Mocha,24-09-17,14,CUST-498
ORD-023,Espresso,24-05-01,3,CUST-901
ORD-024,Tea,24-05-04,2,CUST-358
ORD-025,Mocha,24-11-08,13,CUST-942
ORD-026,Latte,24-06-23,6,CUST-745
ORD-027,Latte,24-02-17,8,CUST-149
ORD-028,Espresso,24-03-30,19,CUST-792
ORD-029,Mocha,24-01-13,13,CUST-593
ORD-030,Mocha,24-04-01,5,CUST-560
ORD-031,Latte,24-07-12,10,CUST-776
ORD-032,Tea,24-01-04,8,CUST-011
ORD-033,Espresso,24-06-01,13,CUST-665
ORD-034,Cappuccino,24-05-09,9,CUST-685
ORD-035,Cake,24-10-28,3,CUST-799
ORD-036,Coffee,24-08-10,4,CUST-516
ORD-037,Mocha,24-03-13,20,CUST-012
ORD-038,Coffee,24-03-19,12,CUST-372
ORD-039,Cake,24-09-29,7,CUST-297
ORD-040,Latte,24-07-28,10,CUST-959
ORD-041,Tea,24-03-30,17,CUST-545
ORD-042,Cake,24-05-20,9,CUST-035
ORD-043,Tea,24-04-16,7,CUST-682
ORD-044,Cappuccino,24-12-06,9,CUST-565
ORD-045,Coffee,24-03-29,20,CUST-574
ORD-046,Coffee,24-02-15,16,CUST-045
ORD-047,Sandwich,24-01-25,9,CUST-059
ORD-048,Coffee,24-10-14,16,CUST-339
ORD-049,Mocha,24-06-26,6,CUST-870
ORD-050,Espresso,24-09-28,17,CUST-807
ORD-051,Sandwich,24-09-26,20,CUST-073
ORD-052,Coffee,24-08-04,3,CUST-233
ORD-053,Cappuccino,24-03-02,11,CUST-453
ORD-054,Espresso,24-02-25,10,CUST-336
ORD-055,Latte,24-08-11,18,CUST-811
ORD-056,Latte,24-12-15,3,CUST-966
ORD-057,Mocha,24-10-22,11,CUST-803
ORD-058,Espresso,24-06-02,17,CUST-150
ORD-059,Mocha,24-01-15,20,CUST-643
ORD-060,Latte,24-12-10,14,CUST-639
ORD-061,Tea,24-02-26,8,CUST-073
ORD-062,Sandwich,24-02-17,7,CUST-403
ORD-063,Cake,24-03-23,10,CUST-356
ORD-064,Mocha,24-10-04,8,CUST-028
ORD-065,Tea,24-02-22,10,CUST-897
ORD-066,Coffee,24-06-23,18,CUST-350
ORD-067,Tea,24-02-27,11,CUST-760
ORD-068,Espresso,24-08-22,17,CUST-856
ORD-069,Espresso,24-03-01,15,CUST-554
ORD-070,Cappuccino,24-08-13,2,CUST-944
ORD-071,Mocha,24-08-25,4,CUST-434
ORD-072,Sandwich,24-03-20,20,CUST-902
ORD-073,Espresso,24-10-18,4,CUST-738
ORD-074,Espresso,24-02-27,5,CUST-001
ORD-075,Espresso,24-09-14,9,CUST-256
ORD-076,Latte,24-01-03,6,CUST-198
ORD-077,Sandwich,24-11-06,19,CUST-730
ORD-078,Cappuccino,24-11-16,16,CUST-564
ORD-079,Espresso,24-07-31,6,CUST-291
ORD-080,Tea,24-08-23,6,CUST-159
ORD-081,Espresso,24-04-05,13,CUST-275
ORD-082,Cappuccino,24-09-09,10,CUST-145
ORD-083,Tea,24-05-12,8,CUST-405
ORD-084,Tea,24-03-05,13,CUST-847
ORD-085,Mocha,24-12-18,10,CUST-932
ORD-086,Sandwich,24-06-07,9,CUST-450
ORD-087,Cake,24-11-30,5,CUST-848
