key,item,date,price,customer
ORD-001,Latte,2024-01-09,3.47,CUST-790
ORD-002,Latte,2024-01-01,14.22,CUST-883
ORD-003,Latte,2024-01-15,16.08,CUST-797
ORD-004,Mocha,2024-01-29,19.5,CUST-987
ORD-005,Latte,2024-01-10,18.18,CUST-748
ORD-006,Sandwich,2024-01-09,12.24,CUST-639
ORD-007,Latte,2024-01-30,15.97,CUST-376
ORD-008,Cake,2024-01-25,7.71,CUST-515
ORD-009,Tea,2024-01-07,10.34,CUST-821
ORD-010,Sandwich,2024-01-13,11.0,CUST-929
ORD-011,Cappuccino,2024-01-07,17.56,CUST-875
ORD-012,Latte,2024-01-23,8.25,CUST-156
ORD-013,Tea,2024-01-05,11.53,CUST-269
ORD-014,Tea,2024-01-30,11.39,CUST-972
ORD-015,Cake,2024-01-02,20.0,CUST-592
ORD-016,Tea,2024-01-02,19.41,CUST-748
ORD-017,Sandwich,2024-01-06,11.12,CUST-829
ORD-018,Coffee,2024-01-30,9.35,CUST-490
ORD-019,Espresso,2024-01-15,9.05,CUST-278
ORD-020,Latte,2024-01-09,4.61,CUST-979
ORD-021,Mocha,2024-01-31,10.06,CUST-910
ORD-022,Tea,2024-01-04,14.63,CUST-539
ORD-023,Mocha,2024-01-30,8.72,CUST-962
ORD-024,Latte,2024-01-13,17.66,CUST-076
ORD-025,Latte,2024-01-10,18.26,CUST-388
ORD-026,Sandwich,2024-01-29,3.88,CUST-756
ORD-027,Coffee,2024-01-11,5.88,CUST-282
ORD-028,Mocha,2024-01-28,3.12,CUST-009
ORD-029,Coffee,2024-01-31,3.85,CUST-606
ORD-030,Espresso,2024-01-30,15.02,CUST-199
ORD-031,Cappuccino,2024-01-20,9.59,CUST-767
ORD-032,Sandwich,2024-01-26,19.88,CUST-918
ORD-033,Tea,2024-01-08,8.08,CUST-568
ORD-034,Espresso,2024-01-01,19.95,CUST-267
ORD-035,Espresso,2024-01-13,13.67,CUST-191
ORD-036,Latte,2024-01-17,16.98,CUST-366
ORD-037,Cappuccino,2024-01-20,17.93,CUST-430
ORD-038,Tea,2024-01-21,9.22,CUST-225
ORD-039,Tea,2024-01-29,19.1,CUST-022
ORD-040,Tea,2024-01-19,16.18,CUST-763
ORD-041,Cake,2024-01-21,3.16,CUST-488
ORD-042,Espresso,2024-01-21,12.56,CUST-446
ORD-043,Tea,2024-01-10,6.15,CUST-631
ORD-044,Tea,2024-01-09,14.49,CUST-050
ORD-045,Sandwich,2024-01-21,15.24,CUST-919
ORD-046,Espresso,2024-01-10,17.11,CUST-904
ORD-047,Sandwich,2024-01-17,10.95,CUST-713
ORD-048,Espresso,2024-01-25,4.06,CUST-161
ORD-049,Espresso,2024-01-28,16.59,CUST-029
ORD-050,Mocha,2024-01-13,7.98,CUST-931
ORD-051,Sandwich,2024-01-16,18.18,CUST-497
ORD-052,Tea,2024-01-03,9.84,CUST-386
ORD-053,Latte,2024-01-15,16.83,CUST-509
ORD-054,Latte,2024-01-12,11.51,CUST-319
ORD-055,Mocha,2024-01-12,11.28,CUST-182
ORD-056,Cappuccino,2024-01-25,3.69,CUST-858
ORD-057,Tea,2024-01-17,18.69,CUST-870
ORD-058,Coffee,2024-01-18,18.78,CUST-585
ORD-059,Sandwich,2024-01-27,14.43,CUST-284
ORD-060,Latte,2024-01-30,13.04,CUST-533
ORD-061,Latte,2024-01-08,5.2,CUST-724
ORD-062,Mocha,2024-01-26,12.5,CUST-803
ORD-063,Latte,2024-01-18,17.39,CUST-200
ORD-064,Mocha,2024-01-09,2.33,CUST-564
ORD-065,Espresso,2024-01-25,15.51,CUST-585
ORD-066,Tea,2024-01-19,6.33,CUST-793
ORD-067,Cappuccino,2024-01-25,8.36,CUST-646
ORD-068,Cake,2024-01-08,2.23,CUST-214
ORD-069,Coffee,2024-01-13,18.26,CUST-839
ORD-070,Sandwich,2024-01-26,8.18,CUST-353
ORD-071,Tea,2024-01-14,2.71,CUST-262
ORD-072,Espresso,2024-01-16,16.84,CUST-534
ORD-073,Latte,2024-01-30,14.34,CUST-636
ORD-074,Sandwich,2024-01-21,3.08,CUST-520
ORD-075,Sandwich,2024-01-14,18.11,CUST-345
ORD-076,Espresso,2024-01-10,8.29,CUST-381
ORD-077,Sandwich,2024-01-10,12.56,CUST-567
ORD-078,Cake,2024-01-28,3.1,CUST-261
ORD-079,Cake,2024-01-27,9.31,CUST-186
ORD-080,Coffee,2024-01-25,15.81,CUST-011
ORD-081,Espresso,2024-01-07,11.65,CUST-088
ORD-082,Mocha,2024-01-17,10.8,CUST-431
ORD-083,Coffee,2024-01-04,13.05,CUST-094
ORD-084,Mocha,2024-01-15,10.1,CUST-835
ORD-085,Latte,2024-01-03,14.0,CUST-306
ORD-086,Tea,2024-01-08,10.78,CUST-222
ORD-087,Tea,2024-01-18,6.23,CUST-503
ORD-088,Latte,2024-01-09,11.6,CUST-757
ORD-089,Latte,2024-01-13,2.64,CUST-650
ORD-090,Latte,2024-01-26,11.57,CUST-434
ORD-091,Tea,2024-01-16,19.16,CUST-878
ORD-092,Espresso,2024-01-22,12.38,CUST-478
ORD-093,Mocha,2024-01-16,7.52,CUST-468
ORD-094,Mocha,2024-01-16,12.75,CUST-856
ORD-095,Cappuccino,2024-01-18,4.04,CUST-600
ORD-096,Mocha,2024-01-20,12.35,CUST-301
ORD-097,Cappuccino,2024-01-23,9.88,CUST-859
ORD-098,Sandwich,2024-01-06,16.54,CUST-618
ORD-099,Tea,2024-01-29,2.49,CUST-036
ORD-100,Coffee,2024-01-24,2.68,CUST-102
ORD-101,Mocha,2024-01-20,4.94,CUST-706
ORD-102,Espresso,2024-01-20,17.22,CUST-539
ORD-103,Tea,2024-01-17,14.55,CUST-668
ORD-104,Espresso,2024-01-19,8.37,CUST-760
ORD-105,Coffee,2024-01-21,18.07,CUST-142
ORD-106,Mocha,2024-01-05,6.75,CUST-812
ORD-107,Mocha,2024-01-04,15.66,CUST-523
ORD-108,Cappuccino,2024-01-30,15.62,CUST-002
ORD-109,Cake,2024-01-01,8.49,CUST-882
ORD-110,Sandwich,2024-01-22,6.41,CUST-808
ORD-111,Coffee,2024-01-16,3.35,CUST-519
ORD-112,Latte,2024-01-05,5.77,CUST-555
ORD-113,Cappuccino,2024-01-29,17.83,CUST-630
ORD-114,Latte,2024-01-17,8.57,CUST-942
ORD-115,Latte,2024-01-27,4.7,CUST-115
ORD-116,Coffee,2024-01-12,4.95,CUST-038
ORD-117,Latte,2024-01-28,2.46,CUST-544
ORD-118,Coffee,2024-01-19,3.7,CUST-818
ORD-119,Latte,2024-01-24,13.62,CUST-745
ORD-120,Espresso,2024-01-30,14.15,CUST-495
ORD-121,Cappuccino,2024-01-13,2.27,CUST-771
ORD-122,Espresso,2024-01-02,6.73,CUST-465
ORD-123,Mocha,2024-01-02,14.47,CUST-267
ORD-124,Coffee,2024-01-03,11.41,CUST-284
ORD-125,Espresso,2024-01-31,3.67,CUST-728
ORD-126,Mocha,2024-01-07,19.65,CUST-598
ORD-127,Mocha,2024-01-25,11.37,CUST-980
ORD-128,Latte,2024-01-19,15.11,CUST-162
ORD-129,Coffee,2024-01-09,18.49,CUST-134
ORD-130,Tea,2024-01-11,13.34,CUST-355
ORD-131,Cappuccino,2024-01-28,14.15,CUST-285
ORD-132,Cappuccino,2024-01-25,11.49,CUST-557
ORD-133,Latte,2024-01-10,4.81,CUST-937
ORD-134,Cappuccino,2024-01-25,15.89,CUST-994
ORD-135,Sandwich,2024-01-02,4.28,CUST-233
ORD-136,Cake,2024-01-11,3.09,CUST-010
ORD-137,Latte,2024-01-11,12.52,CUST-890
ORD-138,Cappuccino,2024-01-15,2.95,CUST-818
ORD-139,Cake,2024-01-18,12.76,CUST-478
ORD-140,Coffee,2024-01-27,9.23,CUST-210
ORD-141,Tea,2024-01-20,9.34,CUST-169
ORD-142,Sandwich,2024-01-17,14.81,CUST-965
ORD-143,Sandwich,2024-01-14,19.88,CUST-484
ORD-144,Cappuccino,2024-01-29,17.03,CUST-006
ORD-145,Mocha,2024-01-12,15.01,CUST-290
ORD-146,Tea,2024-01-05,17.07,CUST-129
ORD-147,Mocha,2024-01-23,2.57,CUST-270
ORD-148,Coffee,2024-01-09,2.53,CUST-408
ORD-149,Espresso,2024-01-24,7.11,CUST-825
ORD-150,Cappuccino,2024-01-03,15.95,CUST-724
ORD-151,Espresso,2024-01-06,15.93,CUST-662
ORD-152,Cappuccino,2024-01-21,10.06,CUST-128
ORD-153,Tea,2024-01-22,13.96,CUST-538
